datetime,season_week,team1,team2,result,pg_score1,pg_score2,elo_prob1,carm-elo_prob1,raptor_prob1,result_v01_prob1,result_v02_prob1
2019-11-13 20:00:00,4,MIN,SAS,1,129.0,114.0,0.5985750485729822,0.5787756508546935,0.7690493054205102,0.6394387,0.5753122
2019-11-13 22:00:00,4,LAL,GSW,1,120.0,94.0,0.6821445463593455,0.563042871455444,0.7923715085933131,0.8430048,0.8408968
2019-11-13 22:00:00,4,POR,TOR,0,106.0,114.0,0.4824702267827067,0.3876431552698129,0.5822900313104186,0.40082827,0.44035548
2019-11-14 18:00:00,4,CLE,MIA,0,97.0,108.0,0.3992221145293871,0.3246400022315718,0.4973444988979763,0.37092158,0.37136513
2019-11-14 20:00:00,4,MIL,CHI,1,124.0,115.0,0.9159629997197838,0.943298005581544,0.905153979050521,0.76591533,0.77952516
2019-11-14 20:00:00,4,NOP,LAC,1,132.0,127.0,0.4193965498751667,0.4417589504006794,0.6393120044363423,0.35760206,0.3377541
2019-11-14 20:00:00,4,NYK,DAL,1,106.0,103.0,0.34461636179177874,0.2821067771703006,0.18883921264591946,0.38927436,0.2861938
2019-11-14 21:00:00,4,PHO,ATL,1,128.0,112.0,0.6518304566405053,0.6403388634441117,0.8661549501839794,0.73527586,0.77433205
2019-11-14 22:30:00,4,DEN,BRK,1,101.0,93.0,0.7741433540125452,0.8182878614236802,0.8725304362137718,0.777085,0.72957575
2019-11-15 19:00:00,4,CHO,DET,1,109.0,106.0,0.6544173395237002,0.6675458430416604,0.4631561331827128,0.5589985,0.47104466
2019-11-15 19:00:00,4,ORL,SAS,1,111.0,109.0,0.6323143066317171,0.6382080302928906,0.8202266117428,0.5190748,0.66474843
2019-11-15 20:00:00,4,HOU,IND,1,111.0,102.0,0.7729287984781645,0.8117488412872713,0.8545658387151518,0.6020737,0.5519489
2019-11-15 20:00:00,4,MEM,UTA,1,107.0,106.0,0.3572906362768838,0.32922431746556474,0.3573620140122039,0.33311307,0.24495552
2019-11-15 20:00:00,4,MIN,WAS,0,116.0,137.0,0.761126801712154,0.7784188588970241,0.8059238163286151,0.78804696,0.72839385
2019-11-15 20:00:00,4,OKC,PHI,1,127.0,119.0,0.5535642320861098,0.5472614807188143,0.38416179081704016,0.3594041,0.47050548
2019-11-15 22:30:00,4,GSW,BOS,0,100.0,105.0,0.4402054491866226,0.4546061058919091,0.342797191519584,0.2947653,0.3683082
2019-11-15 22:30:00,4,LAL,SAC,1,99.0,97.0,0.7559716404069713,0.7647865008854733,0.8156622199943722,0.83758956,0.85304713
2019-11-16 18:00:00,4,CHI,BRK,0,111.0,117.0,0.5000320156022968,0.4540591123080504,0.7271784328547352,0.6311022,0.5717406
2019-11-16 19:00:00,4,IND,MIL,0,83.0,102.0,0.4175328095090772,0.29337183551744545,0.2638928373761554,0.4344503,0.46502787
2019-11-16 19:30:00,4,NYK,CHO,0,102.0,103.0,0.4087642295456415,0.3997799428530659,0.5842518117254826,0.5564643,0.50671834
2019-11-16 20:00:00,4,MIA,NOP,1,109.0,94.0,0.8053529256067741,0.811782233349124,0.7677909673507095,0.8043942,0.7990458
2019-11-16 20:00:00,4,MIN,HOU,0,105.0,125.0,0.3963387206276083,0.3431662712323786,0.5852474837886921,0.5122439,0.49540794
2019-11-16 20:30:00,4,DAL,TOR,1,110.0,102.0,0.3510216471756605,0.2782894251037018,0.7579827743672224,0.48670343,0.54959005
2019-11-16 20:30:00,4,SAS,POR,0,116.0,121.0,0.5820666167128176,0.4910590713451368,0.4889675815101177,0.63976866,0.50856835
2019-11-16 22:30:00,4,LAC,ATL,1,150.0,101.0,0.8101825886876027,0.8282790885634799,0.8557933723188808,0.77496,0.7730747
2019-11-17 15:00:00,5,CLE,PHI,0,95.0,114.0,0.3494578315882741,0.2607895708258694,0.2934232103433449,0.39489532,0.52740514
2019-11-17 15:30:00,5,SAC,BOS,1,100.0,99.0,0.3721086151343106,0.31500519124164833,0.5020624758579716,0.31762275,0.37065712
2019-11-17 18:00:00,5,MEM,DEN,0,114.0,131.0,0.3979703059482908,0.3870350037418597,0.4295531759024834,0.34060064,0.29519093
2019-11-17 18:00:00,5,ORL,WAS,1,125.0,121.0,0.7360617525742953,0.7680093244936506,0.7857243632739993,0.6302284,0.63250303
2019-11-17 19:00:00,5,NOP,GSW,1,108.0,100.0,0.5228346478944892,0.39748671912132943,0.7627678520390205,0.6583491,0.6592493
2019-11-17 21:30:00,5,LAL,ATL,1,122.0,101.0,0.8219772171786515,0.8703732107711594,0.9313549066976958,0.8447803,0.8872988
2019-11-18 19:00:00,5,NYK,CLE,1,123.0,105.0,0.5275274825028873,0.5845948157826745,0.476439744557889,0.5449276,0.46626997
